Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
10.0,,embravasports,Embrava,Lifestyle,Bottles Aug,Health,,,11,,,,,,,4561.055653234746,6149.250032130422,839.256357457657,,76.77331158016894,0.8724188745102264,167.45447703189615,,,,,,-0.24387516456952657,-0.00263879721457952,-0.04557856703776038
11.0,mauntainmania,,Mountain Mania,Sports,Clothing,Glamping,,,12,696.9335762006053,692.9316705649292,,,,,,,,,,,,-0.025916152824110444,-0.02591604357217392,,,,,,
12.0,BannorToys,bannortoys,Bannor Toys,Kids,Toy,Siblings,,,13,29266.93107191362,29122.707992559124,83.61523047865352,3.1991272472837555,13.796990196208782,4.197117791049632,488.3192094100312,170388.49801447662,6531.248089316608,,228.53475258801566,65.19713604087809,385.5045836899369,4.378954571003335,4.814229352490776,-0.04733785592943387,-0.08264691408517125,0.017143777411728598,126.7907345058317,-0.25639079773337686,-0.6359718736759257
13.0,LilCreatures,lilcreatures,Lil' Creatures,Lifestyle,Kids,,,,14,5601.675682330385,5629.2301931201355,,,,,2830.404285803844,8292.031412654194,1070.4621899513302,,31.74892014333887,4.608904058660847,106.71059428778132,-0.2245357665877421,-0.1977189310258991,,,,4.068626635281686,-0.0029649358651617818,0.618029966216084
14.0,ANOQ,anoq,ANOQ,Home,Candles,Décor,M&O Paris Sep 2018,,15,350.00383991020857,365.5952401103048,6.838425119966401,3.0417217168769835,10.702926792696768,2.9698933127778395,,,,,,,,0.012589610762011805,0.0487664138083578,0.013411268379457815,-0.001588743646825162,0.003619679616264897,,,
15.0,,luett_shop,Luett,Kids,Toy,Siblings,,,16,,,,,,,844.3360010942929,3070.317163256408,533.0,,,,,,,,,,-2.406790406011142,,
16.0,,urbanoleecopark,URBUN OLE ECO PARK,Wooden,Design,Glamping,,,17,,,,,,,766.6859857345398,522.6597263479216,985.5989317340616,,34.404005275950034,0.8941350603841279,36.913619210076774,,,,,,0.3446189270033027,0.0004835238596577838,-0.01798439946474824
17.0,teixidors,,TEIXIDORS,Lifestyle,Scarves,Design,M&O Paris Sep 2018,,18,4299.783749448488,5035.238613554052,,,,,,,,,,,,0.5692742610959197,0.6347236329532709,,,,,,
18.0,,teapeopleus,Teapeople,Lifestyle,Bottles Aug,Drinkware,,,19,,,,,,,666.5863059689444,3841.646628588031,511.0,,3.653061224489796,-15.9795918367347,34.908467104673875,,,,,,2.058142209215123,-0.793072662095123,-0.7802330312555126
19.0,serabeena,,Serabeena,Kids,Educational,Siblings,,,20,168.21001027690832,179.26087421127949,,,,,,,,,,,,0.04981087545530699,0.0507012172612349,,,,,,
20.0,domedeco,domedeco,DÔME DECO,Furniture,Home,Design,M&O Paris Sep 2018,,21,18514.95523592603,18730.20500153747,,,,,1648.5284272627307,11201.360147771482,684.6668374358901,,42.068533668387154,1.579579384132218,132.19385418597236,0.21575263737595882,0.710986683529755,,,,11.702582089609738,0.002364857370587562,0.2863162911954228
21.0,Thomas,,THOMAS EYCK,Décor,Design,Tableware,M&O Paris Sep 2018,,22,953.7086362535492,1014.6462105551833,2.9745798624385733,1.0,16.502270917628127,3.0,,,,,,,,0.023571066500114955,0.05618193389111501,0.0,-0.05437850317708259,0.0004303361360538964,,,
22.0,,selecthome,SELECT HOME ACCESSORIES,Home,Accessories,Handmade,M&O Paris Sep 2018,,23,,,,,,,1.0858308938972878,12468.188460281526,233.97765593213927,,-1.9474656577584453,3.648807240547544,132.66505476812338,,,,,,4.849062772453532,0.043819762043112984,0.809224275457808
