fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
eodk,eo,EO #3,Kids,Furniture,Candles,,,1307,,,,,,,978.01920257815,13833.158154781699,972.3564155687669,16.4192765123384,0.9111225185827958,70.3829067484592,,,,,,6.579784556464161,0.000120557092323,0.150137729165957
,janeboothceramics,Jane Booth Ceramics,Lifestyle,Bottles Aug,Design,,,1308,,,,,,,1010.5151283305802,651.0521680210791,677.1900552038791,23.7822288399643,2.1138097923495303,33.810367390241105,,,,,,0.41455412709884004,0.012901400660407,0.042509444385462
cafecoffeefanatics1,cafe_coffee_fanatics,Cafe Coffee Fanatics,Lifestyle,Bottles Aug,Coffee,,,1309,53.0,53.0,,,,,6367.283679318729,7310.6293143331495,856.0,1.39900880719523,0.002770880902979,25.1710202047047,0.004056174950925,0.004056174950925,,,,-1.65504364926063,-0.001685891391117,-0.079406257889982
stashtea,stashtea, stash tea,Lifestyle,Bottles Aug,Teaware,,,1310,68468.8572986797,65785.18174374031,42.016824549355604,19.0497347909457,59.1271762185118,3.96928319692267,557.92383999499,23146.431082813902,520.6440405777021,45.51841590492371,16.1537968822156,275.614154954801,2.19210762882891,2.9237762692526097,0.27968715989874604,0.138112718198659,0.003521448769832,28.3683787916214,0.08367894152887,0.512211107182637
ByBooNL,byboonl,BY-BOO,Home,Décor,Cushions,M&O Paris Sep 2018,,1311,9937.24333672418,10237.7169610621,4.040934135339279,0.0,25.626078940394002,8.75250332628741,903.045770090348,13739.8098801122,217.81976221684897,23.9527854668478,5.62338938766964,157.60509310472,2.9186798270301098,3.412520318031,-0.07760110297855201,-0.09485414787460901,0.058368423893658,14.3460519882321,0.001929389112155,0.48781209230715106
,131method,131 Method,Lifestyle,Bottles Aug,Health,,,1312,,,,,,,44.897816384376604,57397.7024485331,1053.56714869224,72.5812903669575,15.489329603694902,432.804184326804,,,,,,6.84902377070616,-0.0049217004283849996,0.3951001738394389
zakkpac,zakkpac,ZAKK PAC,Bags,Design,Glamping,,,1313,252.0,256.0,12.3312892122073,,1.54042916451318,,0.0,766.2419185076559,133.467922861889,26.482637510053703,0.0,31.032355387062303,0.00190338076412,0.00190338076412,,-0.01717693238065,,1.06835894323452,-0.000592382577681,-0.062639594789704
,josephcweaver,Joseph Weaver,Lifestyle,Bottles Aug,Teaware,,,1314,,,,,,,174.481239946311,44018.183160193206,709.964392934892,91.0901174982805,29.675341560412697,1293.55593066682,,,,,,15.1736341360862,0.177701716728447,1.6391123885266399
Seletti,selettiworld,SELETTI,Décor,Furniture,Lighting,M&O Paris Sep 2018,IT,1315,30986.6509054219,33013.3144296415,1.0,,,1.53225806451613,146.94149587757798,189120.343301633,2319.58695883149,52.0178691647373,18.498986616912898,2107.53034415699,7.02477460283051,9.69751075457641,,,-0.00018352334874599999,162.319136871845,0.017168269428843003,0.8355200236964642
SolvejSwings,solvejswings,SOLVEJ SWINGS,Furniture,Design,Kids,M&O Paris Sep 2018,,1316,3474.58106859589,3416.66549021961,,,,,1275.39815151923,4599.95561910617,151.988250691403,1.3208156774003401,0.0,40.691768299519296,-0.19433455734141197,-0.18655000857543397,,,,0.15754851635909303,-0.032313466597852995,-0.08395905885335099
