brand,brandID,cat_1,cat_2,cat_3,cat_4,country,fb_avg_comments_num,fb_avg_comments_num_growth,fb_avg_comments_num_merged,fb_avg_likes_num,fb_avg_likes_num_growth,fb_avg_likes_num_merged,fb_avg_shares_num,fb_avg_shares_num_growth,fb_avg_shares_num_merged,fb_engagement,fb_followers,fb_followers_growth,fb_followers_merged,fb_likes,fb_likes_growth,fb_likes_merged,fb_score,fb_username,final_score,ig_avg_comments_num,ig_avg_comments_num_growth,ig_avg_comments_num_merged,ig_avg_likes_num,ig_avg_likes_num_growth,ig_avg_likes_num_merged,ig_engagement,ig_followers,ig_followers_growth,ig_followers_merged,ig_score,ig_username
Le Typographe,1385.0,Lifestyle,Home,Design,,,,,,,,,,,,,0.2616572143878997,0.19567444613407095,0.22390590865237703,0.2616523473142375,0.18545488528970577,0.2170607072238008,0.2240410836054577,le,0.23211737381607372,0.23228753439629282,0.3399886614421227,0.27600353977115477,0.23437742257662644,0.20107569180837337,0.21645316490808889,0.22879429851683403,0.24492583941641322,0.24460632358049395,0.24476597722505017,0.23992195254172577,letypographe_be
MASSERANO CASHMERE,1386.0,Home,Scarves,Accessories,M&O Paris Sep 2018,,0.230275423891174,0.36377467980144484,0.28202459042242106,0.24336407444653407,0.2693066343697705,0.2556789716620767,0.23720231965596564,0.5937505395534354,0.33898193794785286,0.2742842535972386,0.26141839944014045,0.17351845155266327,0.2085862155606553,0.2614265746259209,0.14000544797781786,0.18235288981884826,0.2262090134941884,masseranocashmere,0.2996268597327803,0.22864847553149412,0.35795518624733647,0.27905010819691817,0.23033541078247233,0.3234542191055075,0.26906592830949644,0.27149438894978717,0.24203390681748752,0.6662876124520778,0.35508174249918567,0.35830432925188116,masseranocashmere
The Nursery Edit,1387.0,Kids,Game,Wooden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nurseryedit
JAM HOME MADE,1388.0,Accessories,Lifestyle,Glamping,,,0.23913101354980248,0.01507183039347489,0.02835642608976156,0.9705617754762929,0.7296112444628841,0.8330126128677157,0.2961332141634148,0.6261440547772801,0.4020961108224655,0.12090808162706253,0.26242918178051,0.25807491965783874,0.2602338379917621,0.26249889796989195,0.24909990708510954,0.25562393988474574,0.12761827429432285,jamhomemadeshop,0.38768980912619316,0.2523231249669704,0.9981497059504164,0.4028176330796438,0.2456534772169265,0.7962060905081356,0.3754647953979018,0.38194873559157577,0.24589364104582312,0.9910460160951079,0.394023931458151,0.533216984225697,jamhomemade_shop
PINK PAMPAS,1389.0,Décor,Design,Art,M&O Paris Sep 2018,,0.230275423891174,0.36434074776528164,0.28219454542837663,0.2403525699225023,0.4553978161655171,0.31464168081289434,0.23004597536614954,0.4032121236909951,0.292952672573971,0.3031804111527234,0.26139585092456874,0.9753852691061523,0.4122987621139608,0.2614049003619624,0.9779755047889671,0.4125409572772252,0.522503642072962,pinkpampas,0.5152418836474717,0.23827542546012578,0.5536541730426237,0.3331664427972438,0.24057526816947766,0.8122814018012112,0.371208772553715,0.3609063263040409,0.2465510951200964,0.9996849281387016,0.39554853046719896,0.5078763051666021,pinkpampas
Through The Milky Way,1390.0,Lifestyle,Bottles Aug,Home,,,,,,,,,,,,,0.26139236053440656,0.24940957239401598,0.25526041569260954,0.26140205702654234,0.26203522702312737,0.2617182590713686,0.26025115073692495,ThroughtheMilkyWay,0.2222085828934249,0.23079087984519792,0.20504978103372787,0.2171601854742299,0.22961700495730478,0.5280764094298573,0.3200643458672926,0.28616374826691743,0.24208115898646432,0.13042700283202552,0.1695206883767152,0.17613247049625613,throughthemilkyway
OKYANUS PACKAGING,1391.0,Lifestyle,Bags,Design,M&O Paris Sep 2018,,,,,,,,,,,,,,,,,,,okyanusambalaj2018,0.25041747915082324,,,,,,,,0.2418118857463575,0.22275262278316804,0.23189129079464124,0.23040907013395268,okyanusambalaj2018
Sipgo,1392.0,Lifestyle,Bottles Aug,Home,,,,,,,,,,,,,0.2614029945879047,0.10715602222344445,0.15200227816797182,0.2614124620990422,0.11264221566972607,0.1574426450708218,0.14180757797679003,getsipgo,0.16030812418766294,,,,,,,,0.2419069382785858,0.13152583897876766,0.17040289417310078,0.17688414340887357,getsipgo
Mncdesignstudio,1393.0,Design,Tech,Hong Kong,,HK,,,,,,,,,,,0.26138122672913916,0.20275193326812,0.2283635542853207,0.26139052254669376,0.20427655412107953,0.2293310302623859,0.2292842725135915,yuandesignstudio,0.3152757544589731,0.2293592620619905,0.32859677681244903,0.27015287583476505,0.22947604246507397,0.3817501691494564,0.286645161356517,0.28233614894354453,0.24218329972286168,0.8961064362497508,0.3813124317569713,0.382395508704355,yuandesignstudio
The republic of tea,1394.0,Lifestyle,Bottles Aug,Teaware,,,,,,,,,,,,,0.286706977095316,0.8074550333732055,0.4231603538486945,0.28754463190261326,0.7861407870751315,0.4210741046634906,0.3865291038862601,RepublicofTea,0.3074248689787815,0.22864847553149412,0.13922011932750092,0.1730643414110805,0.24407090909509951,0.10238491102766568,0.14425607457417475,0.15051995751055616,0.25388356914356897,0.4839360272283028,0.33304457196324166,0.1990360569900005,republicoftea
Keep Cup,1395.0,Lifestyle,Bottles Aug,Design,,,,,,,,,,,,,0.2645488829740542,0.32064318445701695,0.2899075397714237,0.26446026276266704,0.3201957772276888,0.2896713745830037,0.29700108043986884,keepcup,0.24920174782678509,0.24720943826821096,0.06643035751192289,0.10472020187126443,0.29862190090596163,0.16108095170988593,0.209275621091455,0.16747320242144542,0.3253019666938918,0.4699096102827963,0.38445748230809546,0.1897192147817393,keepcup
ygrowuptoys,1396.0,Kids,Toy,Siblings,,,,,,0.2373900346694209,0.3402620789049632,0.279665995535346,0.2298495383569864,0.3744313120887813,0.28484392370375455,0.2784575529527207,0.26139079855949704,0.2896951258632532,0.2748160928534276,0.2614000357722356,0.21026563967061918,0.23306103705751222,0.3310658121197613,ygrowuptoys,0.2802507200874457,0.23049881508149392,0.3594438310834045,0.2808794302011491,0.22897379131628753,0.3954988645525802,0.2900331139460093,0.2876892113896851,0.24471464996786813,0.15084023015539136,0.18663814291481778,0.21789070715509323,ygrowuptoys
Sigg,1397.0,Lifestyle,Bottles Aug,Design,,,0.230275423891174,0.36366917176857283,0.2819928771037586,0.23920067760318436,0.48327649092990854,0.3200102899717537,0.23365036241996465,0.8578887558965509,0.36727225871737934,0.3196182345061864,0.2627203093751748,0.5439845371558194,0.35431988914274415,0.26271384621319893,0.5744490817975619,0.36054087605450713,0.4779088353614511,siggswitzerland,0.39573967374280805,0.23037405148607445,0.47084982805591125,0.3093778911283271,0.2336820367780652,0.49648728116622814,0.3177897406699295,0.31564418384498766,0.24456054133429106,0.23070723036313065,0.23743198469288637,0.29124375329196284,siggswitzerland
BB&CO,1398.0,Kids,Accessories,Gifts,M&O Paris Sep 2018,,0.6062992522917249,0.9999997319546933,0.754901915175519,0.25302501712492864,0.6543131589615011,0.36493030407998517,0.3967610665115925,0.9958470569906901,0.5674436817449876,0.44217607545198495,0.2615489862373255,0.9406686319462344,0.40929516145757294,0.2615559887327719,0.9735688682040041,0.412335265527862,0.6825929019747652,bbandcofrance,0.578914726926947,0.24201227117571603,0.4613902224398965,0.31749132721149553,0.23048360190858294,0.5424809061948389,0.3235153798541273,0.32198803665067877,0.24261220277851725,0.9830174361144559,0.38917470331548437,0.45205248841198953,bbandcofrance
Haglöfs,1399.0,Lifestyle,Glamping,,,,,,,,,,,,,,0.262426697653902,0.20823044146607442,0.23220821512292536,0.26241498467375235,0.20496507653662938,0.23015918684559986,0.23378959142519873,haglofshongkong,0.16989415781640074,0.2372314353982806,0.0041523558898504355,0.008161851653559307,0.33231658575777945,0.46576169468223644,0.38788259233974104,0.030708872141558537,0.26906991226991483,0.253197751046366,0.2608926473769745,0.05541188195258133,haglofs
Corkcicle,1400.0,Lifestyle,Bottles Aug,Design,,,0.26704502631335875,0.7995011081956027,0.4003629802173556,0.25158730149335656,0.7956774583259478,0.38229558041054956,0.25238119221411914,0.41799001381766476,0.31472956198508534,0.36975696940826247,0.2765489116013916,0.5978314820010179,0.378164119136472,0.276721583722016,0.5848927301120936,0.37569580724322643,0.5699328813014594,Corkcicle,0.4035791714549224,0.30800289203612496,8.028311882235101e-05,0.0001605243958325706,0.30304431332733006,0.5033461282718569,0.37831842725123105,0.0006412812766261356,0.3039332212602259,0.6259898650019746,0.40919323104676375,0.0304763199205544,corkcicle
wymgame,1401.0,Kids,Card Game,Family,,,,,,,,,0.23761194366914204,0.07805488932693788,0.11750853765548312,0.21382921396839114,0.2654547122234058,0.10680685694086127,0.1523250629194646,0.2654645363794159,0.10927256376905142,0.15481782011147924,0.14214752943558673,WYMgame,0.1567446673287445,0.22939076965956992,0.35883995987727624,0.27987172531999277,0.22894621801905166,0.3854494076674808,0.28726501437748686,0.2853803124316997,0.24229243886328022,0.12211993336552725,0.16239150338384598,0.17009368403134956,wymgame
