,brandID,brand,final_score,fb_score,fb_followers_merged,fb_engagement,ig_score,ig_followers_merged,ig_engagement,fb_followers,fb_followers_growth,fb_followers_merged,fb_avg_comments_num,fb_avg_comments_num_growth,fb_avg_comments_num_merged,fb_avg_likes_num,fb_avg_likes_num_growth,fb_avg_likes_num_merged,fb_avg_shares_num,fb_avg_shares_num_growth,fb_avg_shares_num_merged,ig_followers,ig_followers_growth,ig_followers_merged,ig_avg_comments_num,ig_avg_comments_num_growth,ig_avg_comments_num_merged,ig_avg_likes_num,ig_avg_likes_num_growth,ig_avg_likes_num_merged
1812,1833.0,Dji,0.7039189367518696,0.035931490505017566,0.0003456948194089128,,0.9948430363760168,0.9950283145272018,0.8433371214820841,0.5964136745340889,0.00017289751735506066,0.0003456948194089128,,,,,,,,,,0.9901058198860464,0.9999999999186904,0.9950283145272018,0.6870212968712031,0.4924739584872852,0.5737031939690114,0.9999999258227329,1.0,0.9999999629113652
2639,2997.0,ferm LIVING,0.6907853618393922,0.3287668306282264,0.2556853236015427,0.3164312710695269,0.9199354343332096,0.766633229491032,0.5294635346419396,0.26772188917774786,0.24468450088428145,0.2556853236015427,0.23187277202551626,0.4496013476286119,0.3059553041690407,0.2574843625320276,0.44004071241721215,0.3248732021085564,0.23621757444164004,0.4231179105476639,0.3031776350821021,0.6218732250752436,0.9992359428114068,0.766633229491032,0.2725132660708996,0.3557375743211805,0.3086130634760592,0.5349372718665653,0.9930840546988544,0.6953275660737945
2713,3117.0,Youth To The People,0.6891740655709251,0.5014366044513745,0.4159244405865565,0.2881329542416487,0.8357530239415178,0.532209669643067,0.5894069216703111,0.26256705883260195,0.999985165991848,0.4159244405865565,0.2281633828979949,0.3213995011957972,0.26687245291494605,0.2408534349845867,0.3647110690123541,0.2901157949937234,0.2354360820557576,0.43799157337626293,0.30625121845639325,0.3625949030704563,0.9999812264592411,0.532209669643067,0.5679995084677714,0.9225708664790953,0.7031131270209116,0.399296799694435,0.9330490311911278,0.5592594407189021
2726,3145.0,Gubi,0.6859011569227729,0.4032058642959289,0.3472385793535727,0.26765294010496304,0.8822390974862594,0.6348129255530912,0.5301354048234843,0.2624749057959302,0.5128624243758145,0.3472385793535727,0.2348840430288879,0.24398247786770075,0.23934682559337786,0.25690333711424385,0.3525586806705741,0.2972244338443556,0.24711562902501316,0.2095431307155345,0.2267837042436661,0.4652383978375982,0.9989023964576648,0.6348129255530912,0.2688109201968169,0.3577483950964646,0.3069675063080057,0.5585400661504201,0.9363321757550648,0.6996972995075075
2365,2526.0,ILIA Beauty,0.6853040301101698,0.5147752293674265,0.41136296249143184,0.29865428803939803,0.8211514419400324,0.5139770995502394,0.6062550575182534,0.26235202733861435,0.9521869350326372,0.41136296249143184,0.2381248712049572,0.5137500613990661,0.3254175977871584,0.2471670786606928,0.6370738038795927,0.35615559991708506,0.23022750796250685,0.16266821233093404,0.19063937434439948,0.34587672683314863,0.999979540268762,0.5139770995502394,0.508887058519016,0.9749075548096529,0.6687149736742678,0.41829967008698904,0.9890989781660128,0.5879496569984554
2202,2240.0,FOREO,0.6824875416137023,0.09951647173002316,0.4513436006658954,4.890638147337276e-57,0.960039041273967,0.7031679141291243,0.8510792241903022,0.2914425224781659,0.9999944746844333,0.4513436006658954,0.2316080529502003,4.890638147337276e-58,9.781276294674552e-58,0.236715304201563,3.093865262018623e-16,6.187730524037239e-16,0.2279262497918173,0.003648013577158001,0.007181092075905108,0.5424482533188016,0.9992235695592969,0.7031679141291243,0.9999915457438044,1.0,0.9999957728540334,0.6880264203030484,0.9869966989105464,0.8108303674293993
2263,2355.0,Satechi,0.6788395472355071,0.3929066138877077,0.44141192136544827,,0.8759398692519436,0.5533525897253777,0.7914712249818215,0.2832126893724529,0.9999999999321096,0.44141192136544827,,,,,,,,,,0.3825068829916032,0.9999999907085324,0.5533525897253777,0.4351151853208228,0.6074562207914461,0.5070413873512549,0.9483745021356588,0.9999999999999424,0.9735032983608608
2780,3276.0,Too Faced Cosmetics,0.6764060846956922,0.9555849330493726,0.6374989200282857,0.6807743895687829,0.043678582345789495,0.9999999999999564,0.03125936051202352,0.4727254753049567,0.9786003989244256,0.6374989200282857,0.4065135752692988,0.999999932125306,0.5780442854478249,0.6773569410081772,0.9999921441686144,0.8076453801921242,0.3593751138829302,0.9827035972413124,0.5262868924817751,0.999999999999913,0.9999999999999998,0.9999999999999564,0.5992464130281089,0.9999994009375768,0.7494108145340542,0.9999972960988291,0.011987793053765286,0.02369157563377895
836,841.0,INVINCIBLE ÉTÉ,0.6746477315633932,0.915406814088005,0.7196752930103828,0.5424073187569525,,,,0.5621037296878618,1.0,0.7196752930103828,0.3549299301236153,0.23258869783308656,0.28102152456525664,0.9999436892695576,1.0,0.999971843842032,0.9375207309848202,0.2351488889460434,0.3759915913366295,,,,,,,,,
2509,2792.0,Beautyblender,0.673167273592517,0.06826272615818411,0.06568306161366318,,0.9495517661978298,0.6777749434793929,0.7745033362458832,0.2817561124887481,0.03717460819606365,0.06568306161366318,,,,,,,,,,0.997657081695028,0.513219615734485,0.6777749434793929,0.5739297418405885,0.3884853081578384,0.4633412011174474,0.995776410553164,0.9999992656516884,0.9978833705399149
