Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
3032,OreoShake1,oreoshake_vintage,Oreo Shake Studio,Fashion,Clothing,Taiwan,Sino Project,TW,3033,,,,,,,,,,,,,,,,,,,,
3033,saltandseaweedapothecary,saltandseaweedapothecary,Salt & Seaweed Apothecary,Skincare,,,,,3034,755.143294330694,744.424038643877,45.1448566751869,2.29106425144761,3.46867352044168,1,186.72363596134,1267.50554833523,223.566132722896,33.7455090608098,38.6337314267905,59.8692871642606,0.194008214075455,0.212773655121269,-0.007664944626754,0.003528301741899,-0.001665061376936,0.395197990072419,-0.00603014500483,-0.056317124723119
3035,,clemenceorganics,Clémence Organics,Skincare,,,,,3036,,,,,,,2697.15588017158,11850.4071086783,1184.37179159166,73.3305756244095,7.24002628197757,41.3599928316248,,,,,,5.27580237314925,0.104614746638886,0.110926851366588
3037,aerogarden,officialaerogarden,AeroGarden,Tech,Gadget,,,,3038,46411.8347940277,46666.6741309479,18.0380545789284,509.50990481448,110.730443339387,19.0425060057803,302.119668214559,17739.3242201791,690.025643584353,40.2308641940567,27.9496156087677,158.329005022505,27.4812965388634,30.9694318711472,-1.44154863937836,-0.400236785018928,-0.058344148509845,45.6666066537452,-0.226353367375994,0.005066675521213
3038,Hem,hem,Hem,Home,Lighting,Accessories,,,3039,66557.2972450892,66828.7574984956,1,1,43.7255317747061,1,643.723489560694,125315.730206039,1167.61372232576,51.8728494844795,7.67196123420675,962.331497496033,1.56828032412855,2.41611254408846,0,0.001067028893016,0,53.1755412271014,-0.032154483596612,-2.52511288032345
3040,Muuto,muutodesign,Muuto,Furniture,Lighting,Accessories,Sino Project,SE,3041,123783.775363819,129213.246761036,,,,,100.052258509517,878209.175595307,2805.12752203823,118.729980295038,17.1142021012915,4073.08913954946,18.8874280210012,35.4453076659539,,,,307.77109999826,0.024730491275748,3.1562652989672
3042,Akarina,,Akarina,Home,Gadget,Electronic,,,3043,42.3314212790568,43.3235560093831,1,1,1,,,,,,,,0.000411846728418,0.008552103043223,0,0,,,,
3043,MONATCanadaOfficial,monatcanadaofficial,MONAT,Skincare,,,,,3044,21101.8166375703,22159.1738212105,111.016158836839,26.3046565540254,30.8032274970797,27.726999502124,1920.03371170021,28089.6438295248,642.502521486988,155.215126943884,72.276659481921,668.172333601821,15.3997809441491,19.4053796164903,-0.03471508757539,-0.030119537906286,0.009617040011695,114.599586292151,0.071891359378499,1.40284160674484
3044,PupaMilanoItaly,pupamilanoitaly,PUPA Milano,Skincare,Beauty,,,,3045,1161508.71841643,1149747.26123249,1,13.4872708640099,124.72681707983,10.2460722466212,202.423727864764,364504.623251976,1563.71516699724,58.1247121892328,45.5292385907202,1882.64733920408,-44.0906328873853,-39.8909068031093,0.000193523593727,0.000953836642873,0.344750389080178,46.7531918380625,-0.043395785761552,-1.23909624851847
3046,sacosbabybites,babybites_,Baby Bites Barcelona,Kids,Sleepwear,Fun,Spain,,3047,24261.1645326577,24800.028834383,,,,,2949.73894960925,52946.6160853643,1211.04161552937,28.1670202938567,-5.95463966550819,323.151894034055,-1.18586328001847,-0.973242928907374,,,,-6.29971538641754,-0.05184820176435,-0.832027552482833
3047,,framacph,Frama,Home,Lighting,Accessories,,,3048,,,,,,,431.122655119631,221323.563249133,1746.62654783448,69.264161945556,10.7235080777776,2818.25227146616,,,,,,184.422063898469,-0.015531980074771,-0.472148669683528
3048,bernardaud,bernardaud,Bernardaud,Home,Tableware,Teaware,,,3049,35536.5733305342,36913.8135401871,104.913021248456,1.47370587773291,27.4446283597624,4.46922152260403,1040.07262879707,74555.050426477,1541.46526681968,141.99566636934,5.72638278604681,536.555763208845,1.42340334775019,1.61778348839054,0.01478237213866,-0.006312512144915,-0.003799218612658,91.4932490215897,-0.000136561856201,0.475593029921453
3049,makoto,makoto_kagoshima,Makoto Kagoshima,Décor,Pottery,Tableware,,,3050,22324.8155815131,23262.899435216,15.7952990887893,3.3467290694417,83.4247022063507,2.64324176164996,342.39758364255,74177.8941756663,1360.76125639034,46.0724131776726,3.87191380203079,1947.50883731028,-0.093723605727713,0.318937099594659,-0.001384136721354,0.241043504030285,-0.022879661566026,8.59876532012324,0.004536273867134,0.410961407423721
3050,nikoniko,nikonikohandmade,nikoniko handmade,Jewelry,Watches,Hong Kong,Sino Project,HK,3051,,,,,,,,,,,,,,,,,,,,
